Sample	nanostat-Median_read_length_fastq	nanostat-Mean_read_length_fastq	nanostat-Read_length_N50_fastq	nanostat-Median_read_quality_fastq	nanostat-Mean_read_quality_fastq	nanostat-Number_of_reads_fastq	nanostat-Total_bases_fastq
barcode01_AS	1406.0	1517.2	1408.0	22.5	18.3	2403	3.645905
barcode01_bulk	1405.0	1505.1	1405.0	23.2	21.0	12779	19.233159
barcode02_AS	1446.0	1579.4	1454.0	22.6	18.4	9645	15.232892
barcode02_bulk	1406.0	1597.8	1407.0	23.1	20.9	49878	79.696711
barcode03_AS	2047.0	1787.7	2055.0	22.4	18.9	16795	30.024918
barcode03_bulk	2060.0	1971.6	2060.0	23.0	20.8	62692	123.606387
barcode04_AS	2039.0	1780.1	2054.0	22.3	18.9	14894	26.513054999999998
barcode04_bulk	2060.0	1973.9	2060.0	23.0	20.8	59778	117.99802199999999
barcode05_AS	2050.0	1882.8	2052.0	22.1	18.3	10998	20.706515
barcode05_bulk	2060.0	2013.1	2061.0	23.1	20.8	54898	110.516545
barcode06_AS	2052.0	1826.0	2057.0	22.3	18.6	14843	27.102781
barcode06_bulk	2060.0	1988.5	2060.0	23.0	20.8	62116	123.51677
barcode07_AS	2052.0	1816.5	2056.0	22.2	18.6	17316	31.454707
barcode07_bulk	2060.0	1989.8	2060.0	23.0	20.7	68538	136.37851999999998
barcode08_AS	2054.0	1836.1	2057.0	22.3	18.5	12034	22.095252
barcode08_bulk	2060.0	1998.5	2060.0	23.0	20.8	55120	110.15537599999999
barcode09_AS	2050.0	1809.6	2056.0	22.3	18.6	15271	27.633651
barcode09_bulk	2060.0	1982.2	2060.0	23.0	20.8	64983	128.810952
barcode10_AS	2033.0	1789.0	2053.0	22.4	18.5	1436	25.689802
barcode10_bulk	2060.0	1983.7	2060.0	23.1	20.8	64561	128.06977
barcode11_AS	2041.0	1790.2	2049.0	22.3	18.6	14674	26.269149
barcode11_bulk	2053.0	1969.0	2054.0	23.0	20.7	61485	121.065665
barcode12_AS	2052.0	1816.7	2057.0	22.3	18.7	16580	30.120929999999998
barcode12_bulk	2060.0	1985.7	2060.0	23.0	20.8	71373	141.723771
barcode13_AS	1888.0	1748.9	2044.0	22.2	18.6	16043	28.057437999999998
barcode13_bulk	2060.0	1966.6	2060.0	23.0	20.7	70349	138.345235
barcode14_AS	2050.0	1809.4	2056.0	22.3	18.6	15104	27.329767
barcode14_bulk	2060.0	1987.2	2060.0	23.0	20.8	71872	142.82461899999998
barcode15_AS	2047.0	1820.8	2050.0	22.5	18.7	14374	26.172877999999997
barcode15_bulk	2061.0	2008.9	2061.0	23.1	20.9	61857	124.266577
barcode16_AS	2048.0	1841.1	2051.0	22.3	18.7	8326	15.329398
barcode16_bulk	2060.0	2016.0	2061.0	23.1	20.9	36389	73.358952
barcode17_AS	2047.0	1829.6	2050.0	22.3	18.4	4589	8.395953
barcode17_bulk	2054.0	2008.7	2054.0	23.2	20.9	20394	40.965222
barcode18_AS	2048.0	1840.0	2051.0	22.3	18.3	11412	20.997607
barcode18_bulk	2054.0	2011.0	2054.0	23.2	20.8	53112	106.80776399999999
barcode19_AS	2037.0	1780.8	2048.0	22.5	18.6	5132	9.138993
barcode19_bulk	2054.0	1997.3	2054.0	23.2	20.9	20249	40.443357999999996
barcode20_AS	2048.0	1838.0	2050.0	22.3	18.6	6141	11.28727
barcode20_bulk	2054.0	2010.6	2054.0	23.1	20.9	26392	53.062548
