tax_id	abundance	superkingdom	phylum	class	order	family	genus	species	estimated counts
562	0.10319205090527915	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	3610.0707088702857
1351	0.1486675273666546	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	5200.984777395044
1280	0.24939966505660505	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	8724.99788234027
1423	0.23607978475253538	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	8259.015189782698
28901	0.0810636088248211	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	2835.929291127541
1639	0.1753373585205855	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	6134.0021504841625
287	0.006260004573519323	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	219.0
unmapped	0.0								1.0
mapped_filtered	0.0								0.0
mapped_unclassified	0.0								0.0
