tax_id	abundance	superkingdom	phylum	class	order	family	genus	species	estimated counts
1280	0.34342909140300504	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	167441.60094626632
1423	0.28428792439590955	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	138606.85184262088
562	0.03604245275184189	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	17572.786178782528
28901	0.02884418636354393	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	14063.21381503675
1351	0.14478283209718898	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	70590.02805164126
1639	0.16169875002812134	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	78837.51916621078
287	0.0009147629603890167	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	445.9999994413482
unmapped	0.0								2.0
mapped_filtered	0.0								0.0
mapped_unclassified	0.0								0.0
