tax_id	abundance	superkingdom	phylum	class	order	family	genus	species	estimated counts
1423	0.26784651021196454	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	133074.44951512056
562	0.08581401075334127	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	42635.0607765933
1639	0.15534520088992054	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	77180.31150334011
1280	0.28302117559077616	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	140613.6936899409
1351	0.13406881887038713	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	66609.54534819331
28901	0.06794647458710194	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	33757.91491558444
287	0.005957809096508269	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	2960.0242512273
unmapped	0.0								3.0
mapped_filtered	0.0								0.0
mapped_unclassified	0.0								0.0
